gr,recn,yearStart,yearEnd
SD21V,17,2012,2021
SU02F,3,2010,2019
SU62F,3,2012,2021
SU62K,5,2012,2021
SU01P,16,2010,2019
SS43L,5,2015,2019
SS43M,15,2015,2019
SS43N,3,2019,2019
SS43R,3,2019,2019
TF48Y,6,2017,2022
TF49Q,2,2022,2022
TF48Z,2,2022,2022
SU02K,1,2019,2019
SK17S,1,2021,2021
SD17R,2,2015,2015
SK17I,1,2021,2021
