gr,recn,yearStart,yearEnd
TQ49D,3,2013,2022
SJ81G,16,2014,2022
SE63Y,19,2013,2020
SE64V,27,2013,2020
SJ81L,23,2014,2022
TL28H,3,2014,2014
SU01P,2,2019,2019
SE73D,17,2013,2020
TG41D,3,2013,2018
TL28I,3,2014,2019
TL28E,4,2014,2019
SE63Z,4,2013,2020
SE74B,1,2020,2020
TL28C,1,2019,2019
TG31Y,1,2013,2013
SE64X,1,2020,2020
SK17S,1,2021,2021
TL18Z,1,2019,2019
TL66P,1,2013,2013
