gr,recn,yearStart,yearEnd
SW61W,15,2013,2022
SU01P,13,2010,2019
SW61R,13,2013,2022
SU62K,17,2012,2021
SW61T,5,2013,2022
SW61S,7,2013,2022
SK17D,4,2012,2021
SW61X,3,2013,2022
SW71T,4,2017,2022
SK17G,2,2016,2021
SK17I,4,2016,2021
SW61Z,2,2017,2022
SK17R,1,2016,2016
SU01U,1,2019,2019
