gr,recn,yearStart,yearEnd
SW61T,5,2017,2022
SW61W,10,2013,2022
SD17R,11,2015,2020
SW61S,5,2013,2022
TF49R,5,2013,2022
SW61R,5,2013,2022
SW71T,2,2022,2022
NU14G,1,2017,2017
TF49Q,2,2017,2022
TF48Z,1,2017,2017
