gr,recn,yearStart,yearEnd
NY25Y,3,2012,2017
SO77N,1,2014,2014
SU93E,1,2011,2011
NY25T,15,2012,2017
SD96D,2,2013,2018
TF49Q,1,2013,2013
SS43M,5,2015,2019
TF49R,1,2017,2017
SW61S,6,2013,2017
SW71J,2,2017,2022
SS43N,1,2015,2015
TL66P,1,2013,2013
SD77W,1,2014,2014
SE63Y,1,2013,2013
SW61W,1,2013,2013
NY63X,1,2015,2015
