gr,recn,yearStart,yearEnd
SX7879,2,2017,2017
SX7878,1,2013,2013
TL2283,1,2014,2014
SX7779,2,2013,2017
SJ4836,4,2012,2012
SX7679,1,2017,2017
SK1192,3,2018,2018
SU6420,5,2021,2021
SK0891,3,2018,2018
SS4434,1,2019,2019
SK0992,4,2014,2018
TF4692,2,2017,2022
SU9485,1,2017,2017
SK1092,2,2018,2018
SD1773,2,2020,2020
SJ4735,1,2021,2021
SD1772,3,2020,2020
SJ4936,3,2012,2012
SU9040,1,2015,2015
TF4792,1,2022,2022
SK0892,1,2018,2018
TL2285,1,2019,2019
TF6729,1,2018,2018
