gr,recn,yearStart,yearEnd
SX77,3,2010,2013
SU40,4,2011,2019
SO47,5,2017,2021
TG31,1,2010,2010
SD21,1,2016,2016
SD77,2,2010,2014
NY25,1,2021,2021
SO77,1,2020,2020
