gr,recn,yearStart,yearEnd
SD77,5,2010,2022
SO77,1,2014,2014
TL66,15,2013,2018
SU40,2,2019,2019
SD86,7,2013,2022
SK17,3,2012,2021
TF49,5,2013,2022
TG31,6,2010,2019
NY25,1,2021,2021
SS43,3,2015,2019
SO47,6,2017,2021
SD17,4,2015,2020
