gr,recn,yearStart,yearEnd
SX78,4,2010,2021
SX77,48,2010,2021
SW71,13,2013,2022
SU62,1,2016,2016
SU40,13,2011,2019
SU96,40,2012,2021
SW61,16,2013,2022
SW72,5,2017,2022
