gr,recn,yearStart,yearEnd
SD21,50,2012,2021
TF48,23,2013,2022
SD17,35,2015,2020
NU04,7,2012,2017
SS43,37,2015,2019
NU14,12,2012,2017
TF49,9,2013,2022
SD20,1,2012,2012
