gr,recn,yearStart,yearEnd
TL66,8,2013,2018
NU04,13,2012,2017
SD21,1,2012,2012
SX77,4,2010,2021
SS43,5,2015,2019
TG31,3,2010,2019
SO39,3,2010,2018
SW71,3,2013,2022
SU40,1,2015,2015
SD77,1,2022,2022
