gr,recn,yearStart,yearEnd
SU02,29,2010,2019
SU01,60,2010,2019
SS43,43,2015,2019
SU62,72,2012,2021
TQ50,11,2011,2018
SK17,4,2016,2021
SD17,2,2015,2020
TF48,2,2017,2022
